1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
317966.666666667,316012.345679012,317415.584415584,315753.424657534,317819.277108434,315333.333333333,320313.725490196,336638.888888889,329724.137931034,335281.25,332627.906976744,330472.727272727,332120.689655172,332314.814814815,336191.489361702,335951.219512195,335630.434782609,371018.181818182,371529.411764706,376244.897959184,374735.849056604,398921.568627451,400000,400784.31372549,397538.461538461
317966.666666667,316012.345679012,317415.584415584,315753.424657534,317819.277108434,315333.333333333,320313.725490196,336638.888888889,329724.137931034,335281.25,332627.906976744,330472.727272727,332120.689655172,332314.814814815,336191.489361702,335951.219512195,335630.434782609,371018.181818182,371529.411764706,376244.897959184,374735.849056604,398921.568627451,400000,400784.31372549,397538.461538461
122433.333333333,121686.746987952,121686.746987952,122701.298701299,122078.651685393,122626.666666667,123446.428571429,138846.153846154,137033.333333333,138500,137547.619047619,138437.5,136679.245283019,137480,138977.777777778,138880.952380952,137145.833333333,160372.549019608,163133.333333333,162333.333333333,161169.811320755,173134.615384615,173333.333333333,174709.090909091,174211.538461538
122433.333333333,121686.746987952,121686.746987952,122701.298701299,122078.651685393,122626.666666667,123446.428571429,138846.153846154,137033.333333333,138500,137547.619047619,138437.5,136679.245283019,137480,138977.777777778,138880.952380952,137145.833333333,160372.549019608,163133.333333333,162333.333333333,161169.811320755,173134.615384615,173333.333333333,174709.090909091,174211.538461538
122433.333333333,121686.746987952,121686.746987952,122701.298701299,122078.651685393,122626.666666667,123446.428571429,138846.153846154,137033.333333333,138500,137547.619047619,138437.5,136679.245283019,137480,138977.777777778,138880.952380952,137145.833333333,160372.549019608,163133.333333333,162333.333333333,161169.811320755,173134.615384615,173333.333333333,174709.090909091,174211.538461538
84448.275862069,84414.2857142857,84375,84793.1034482759,84301.5873015873,85140.625,85714.2857142857,85424.2424242424,86238.0952380952,85151.5151515152,85688.8888888889,85760,85787.2340425532,86434.7826086957,85300,86638.8888888889,86767.4418604651,88605.6338028169,89457.6271186441,89229.1666666667,89454.5454545455,92017.8571428571,92821.4285714286,92688.5245901639,91696.9696969697
84448.275862069,84414.2857142857,84375,84793.1034482759,84301.5873015873,85140.625,85714.2857142857,85424.2424242424,86238.0952380952,85151.5151515152,85688.8888888889,85760,85787.2340425532,86434.7826086957,85300,86638.8888888889,86767.4418604651,88605.6338028169,89457.6271186441,89229.1666666667,89454.5454545455,92017.8571428571,92821.4285714286,92688.5245901639,91696.9696969697
84448.275862069,84414.2857142857,84375,84793.1034482759,84301.5873015873,85140.625,85714.2857142857,85424.2424242424,86238.0952380952,85151.5151515152,85688.8888888889,85760,85787.2340425532,86434.7826086957,85300,86638.8888888889,86767.4418604651,88605.6338028169,89457.6271186441,89229.1666666667,89454.5454545455,92017.8571428571,92821.4285714286,92688.5245901639,91696.9696969697
204580.64516129,205000,206615.384615385,205072.463768116,205217.948717949,206445.945945946,204500,219282.608695652,223282.051282051,221595.744680851,222183.333333333,220171.428571429,219626.666666667,221986.301369863,221971.014492754,219016.949152542,219435.483870968,234333.333333333,235230.769230769,234596.153846154,232418.181818182,234017.543859649,235600,235241.379310345,233438.596491228
204580.64516129,205000,206615.384615385,205072.463768116,205217.948717949,206445.945945946,204500,219282.608695652,223282.051282051,221595.744680851,222183.333333333,220171.428571429,219626.666666667,221986.301369863,221971.014492754,219016.949152542,219435.483870968,234333.333333333,235230.769230769,234596.153846154,232418.181818182,234017.543859649,235600,235241.379310345,233438.596491228
204580.64516129,205000,206615.384615385,205072.463768116,205217.948717949,206445.945945946,204500,219282.608695652,223282.051282051,221595.744680851,222183.333333333,220171.428571429,219626.666666667,221986.301369863,221971.014492754,219016.949152542,219435.483870968,234333.333333333,235230.769230769,234596.153846154,232418.181818182,234017.543859649,235600,235241.379310345,233438.596491228
32400,32676.0563380282,32789.4736842105,32327.868852459,32405.4054054054,32307.6923076923,32783.7837837838,33925.9259259259,33277.7777777778,34363.6363636364,34413.0434782609,34188.679245283,34063.829787234,34155.5555555556,33975.6097560976,34343.75,34575,35750,35787.2340425532,35400,35775,36902.4390243902,36880.9523809524,36770.8333333333,36415.0943396226
32400,32676.0563380282,32789.4736842105,32327.868852459,32405.4054054054,32307.6923076923,32783.7837837838,33925.9259259259,33277.7777777778,34363.6363636364,34413.0434782609,34188.679245283,34063.829787234,34155.5555555556,33975.6097560976,34343.75,34575,35750,35787.2340425532,35400,35775,36902.4390243902,36880.9523809524,36770.8333333333,36415.0943396226
32400,32676.0563380282,32789.4736842105,32327.868852459,32405.4054054054,32307.6923076923,32783.7837837838,33925.9259259259,33277.7777777778,34363.6363636364,34413.0434782609,34188.679245283,34063.829787234,34155.5555555556,33975.6097560976,34343.75,34575,35750,35787.2340425532,35400,35775,36902.4390243902,36880.9523809524,36770.8333333333,36415.0943396226
