info	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
T,Y_LT25,PC_ACT,HR	: 	: 	: 	: 	: 	37.3	39.9	36.2	34	32.9	31.7	65.9 i	25.4	23.6	25.4	32.3	36.6	42.2	49.9	44.9	42.3	31.8
T,Y_LT25,PC_ACT,HU	: 	19.7	17.2	15.3	12.5	11.9	11	11.9	13.2	15.5	19.4	66.9 i	18.1	19.5 i	26.4	26.4	26	28.2	26.6	20.4	17.3	12.9
T,Y_LT25,PC_ACT,IE	19.5	18.2	15.4	11.3	8.7	6.9	7.2	8.4	8.7	8.7	8.7	67.9 i	9.1	13.3	24	27.6	29.1	30.4	26.8	23.9	20.9	17.2
T,Y_LT25,PC_ACT,IT	29.9	29.9	29.6	29.2	28	26.2	23.1	22	23.6	23.5	24.1	68.9 i	20.4	21.2	25.3	27.9	29.2	35.3	40	42.7	40.3	37.8
T,Y_LT25,PC_ACT,LT	: 	: 	: 	22.9	27.2	30	31.1	23	24.8	21.8	15.8	69.9 i	8.4	13.3	29.6	35.7	32.6	26.7	21.9	19.3	16.3	14.5
T,Y_LT25,PC_ACT,LU	7.2	8.2	7.9	6.9	6.9	6.4	6.2	7	11.2	16.4	14.6	70.9 i	15.6	17.3	16.5	15.8	16.4	18	16.9	22.3	16.6	19.1
T,Y_LT25,PC_ACT,LV	: 	: 	: 	: 	24	22.4	22.7 i	20.3	19.6	20	15.1	71.9 i	10.6	13.6	33.3	36.2	31	28.5	23.2	19.6	16.3	17.3
T,Y_LT25,PC_ACT,MT	: 	: 	: 	: 	: 	13.7	18.8	14.8	16.4	16.6	16.1	72.9 i	13.5	11.7	14.5	13.2	13.3	14.1	13	11.7	11.8	11
T,Y_LT25,PC_ACT,NL	16.8	15.7	12.4	10.9	9.4	8.2	6.7	7.4 i	9.9	11.4	11.8	73.9 i	9.4	8.6	10.2	11.1	10	11.7	13.2	12.7	11.3	10.8
T,Y_LT25,PC_ACT,PL	: 	: 	23.2	22.5	30.1	34.9	39.5	42.5	41.9	39.6	36.9	74.9 i	21.6	17.2	20.6 i	23.7	25.8	26.5	27.3	23.9	20.8	17.7
T,Y_LT25,PC_ACT,PT	18.3	18.7	17.2 i	14.1	12.8	12.5	13.4	15.6	18.6	19.7	20.8	75.9 i	21.4	21.6	25.3	28.2	30.2	38	38.1	34.7	32	28.2
T,Y_LT25,PC_ACT,RO	: 	: 	15.8	15.4	16.5	16.5	17	19.8	18.5 i	20.5	19.1	76.9 i	19.3	17.6	20	22.1	23.9	22.6	23.7	24	21.7	20.6
T,Y_LT25,PC_ACT,SE	19.1	20.5	20.6	16.1	12.3	10.5 i	15.0 b	16.4	17.4	20.4	22.6	77.9 i	19.2	20.2	25	24.8	22.8	23.7	23.6	22.9	20.4	18.9
T,Y_LT25,PC_ACT,SI	: 	17.5	17.2	17.8	17.5	16.3	17.8	16.5	17.3	16.1	15.9	78.9 i	10.1	10.4	13.6	14.7	15.7	20.6	21.6	20.2	16.3	15.2
T,Y_LT25,PC_ACT,SK	: 	: 	: 	25.5	34.2	37.3	39.6	38.1	33.8	33.4	30.4	79.9 i	20.6	19.3	27.6	33.9	33.7 i	34	33.7	29.7	26.5	22.2
T,Y_LT25,PC_ACT,UK	15.3	14.9	13.7	13.1	12.7	12.2	11.7	12	12.2	12	12.8	80.9 i	14.3	15	19.1	19.9	21.3	21.2	20.7	17	14.6	13
